"기준_년분기_코드","상권_구분_코드","상권_구분_코드_명","상권_코드","상권_코드_명","총_유동인구_수","남성_유동인구_수","여성_유동인구_수","연령대_10_유동인구_수","연령대_20_유동인구_수","연령대_30_유동인구_수","연령대_40_유동인구_수","연령대_50_유동인구_수","연령대_60_이상_유동인구_수","시간대_00_06_유동인구_수","시간대_06_11_유동인구_수","시간대_11_14_유동인구_수","시간대_14_17_유동인구_수","시간대_17_21_유동인구_수","시간대_21_24_유동인구_수","월요일_유동인구_수","화요일_유동인구_수","수요일_유동인구_수","목요일_유동인구_수","금요일_유동인구_수","토요일_유동인구_수","일요일_유동인구_수"
"20231","R","전통시장","3130231","독산동 우시장","171039","91764","79275","17230","27165","36797","28970","28687","32190","34927","35516","23529","23853","31449","21767","24733","24737","25083","25001","25030","23369","23085"
"20231","R","전통시장","3130230","가리봉시장","67156","39910","27247","1196","10278","12519","12625","15827","14710","16618","12751","7888","8565","12308","9026","9435","9410","9526","9490","9489","9465","10340"
"20231","R","전통시장","3130229","남구로시장","726440","351534","374906","63134","68330","103441","119777","150451","221306","164413","137887","96072","101590","133240","93238","103799","102486","104869","104635","103810","102051","104790"
"20231","R","전통시장","3130228","구로시장","714258","367195","347063","58070","79676","116368","140609","134402","185130","91290","126408","127740","145526","160723","62571","99044","100122","99760","100504","97865","105128","111833"
"20231","R","전통시장","3130227","고척골목시장상점가(그라운드 고척)","69727","33175","36552","14641","8959","8677","11546","11240","14663","15821","13828","9111","9353","13120","8494","9769","9654","9766","9638","9518","10605","10776"
"20231","R","전통시장","3130226","고척프라자","28588","13288","15298","6150","3703","3666","4730","4513","5827","7675","5597","3139","3315","5064","3798","3973","3919","3991","3915","3868","4351","4572"
"20231","R","전통시장","3130225","개봉중앙시장","544474","251416","293058","91068","63101","72226","81482","82797","153799","155161","105209","56109","57616","92648","77730","75614","74841","75053","74879","75354","82559","86176"
"20231","R","전통시장","3130224","개봉프라자(고척근린시장)","7270","3535","3735","931","654","921","1132","1520","2112","1594","1438","943","1030","1368","898","1029","1008","1012","1026","1007","1102","1088"
"20231","R","전통시장","3130223","고척근린시장","280161","134034","146126","44422","30117","35181","40104","47659","82676","59882","56203","36431","38492","53965","35188","38964","38789","39022","38878","38864","42597","43047"
"20231","R","전통시장","3130222","오류시장","264568","124705","139862","28444","52207","50697","37023","39134","57063","55137","50166","34036","36420","53427","35382","36943","37171","35655","37443","38264","39838","39254"
"20231","R","전통시장","3130221","남부골목시장(남부화곡시장, 남부시장)","574408","256174","318233","72173","69229","93800","91726","86228","161255","142811","108119","64324","70479","107759","80915","80514","79898","77650","77391","81263","88400","89292"
"20231","R","전통시장","3130220","등마루시장","37269","17133","20136","5327","5412","8002","6182","4254","8093","12479","7352","3619","3514","5222","5083","5314","5200","5302","5217","5155","5341","5741"
"20231","R","전통시장","3130219","까치산시장","971726","457160","514566","98412","176003","185448","157564","134010","220285","209756","188731","108291","121248","194840","148861","136109","137814","140242","139196","140805","141738","135823"
"20231","R","전통시장","3130218","신월중앙시장","59002","26613","32390","9570","8732","10240","10409","8084","11964","9487","10871","9688","10134","12531","6292","8392","8444","8518","8560","8659","8556","7871"
"20231","R","전통시장","3130217","화곡본동시장","257765","119011","138754","39154","39224","44570","42105","33257","59458","61519","48418","28995","32511","50355","35969","36686","36470","36794","35392","36116","37899","38407"
"20231","R","전통시장","3130216","화곡중앙시장","213620","95158","118462","32590","25499","35535","34266","30869","54863","56314","40993","23619","24422","37809","30464","29880","29297","29818","29703","29802","32204","32917"
"20231","R","전통시장","3130215","대원종합시장","63346","28616","34731","10199","8427","9871","10011","9169","15669","12060","11461","8308","9854","13424","8238","8697","8675","8864","8845","8987","9551","9728"
"20231","R","전통시장","3130214","송화벽화시장(송화골목시장)","67169","30768","36400","16768","8315","8706","10776","8734","13870","14660","13104","9075","8803","12715","8811","9640","9782","9636","9821","10012","9371","8904"
"20231","R","전통시장","3130213","방신전통시장","91333","42925","48408","14095","7938","14400","14704","14175","26021","14345","16870","13648","14901","20699","10869","12250","12203","12419","12172","12308","14759","15222"
"20231","R","전통시장","3130212","공항시장","470039","236897","233143","38621","102848","94491","71952","65714","96413","114884","97755","62730","59745","78721","56207","66494","65674","67098","65978","67156","69431","68209"
