"기준_년분기_코드","상권_구분_코드","상권_구분_코드_명","상권_코드","상권_코드_명","지출_총금액","식료품_지출_총금액","의류_신발_지출_총금액","생활용품_지출_총금액","의료비_지출_총금액","교통_지출_총금액","여가_지출_총금액","문화_지출_총금액","교육_지출_총금액","유흥_지출_총금액"
"20261","R","전통시장","3130145","쌍문역둘리상점가","396421490","103498090","48404094","30718245","52534981","64915393","17182243","11864586","51270476","16033382"
"20261","R","전통시장","3130144","백운시장","349500058","95127600","41494883","25414590","48806634","57253923","12372182","10455654","44110385","14464207"
"20261","R","전통시장","3130143","방천골목시장","195387403","62649571","22221474","13834898","29786986","25068086","6498747","6561470","21349473","7416698"
"20261","R","전통시장","3130141","강북북부골목시장","413253331","121477926","48375561","30317015","57889585","61031535","13239140","13374436","50192906","17355227"
"20261","R","전통시장","3130140","숭인시장","99443535","26377046","12282483","7666344","13383928","15813436","4838455","2980140","12251683","3850020"
"20261","R","전통시장","3130139","강북종합전통시장(강북종합골목시장)","905968756","284161355","106297609","67820368","138735433","129535037","31089038","30390519","80892560","37046837"
"20261","R","전통시장","3130138","수유프라자","146792905","32308496","20419420","12078804","17000796","27860353","9805487","4092364","17051280","6175905"
"20261","R","전통시장","3130137","수유전통시장(수유시장, 수유골목시장)","266775147","69888313","31777016","19983383","35817795","44273939","10331353","7861225","36047192","10794931"
"20261","R","전통시장","3130136","수유재래시장","218864584","53302441","27989093","17038362","28513518","40633997","9538324","6293262","25649775","9905812"
"20261","R","전통시장","3130135","수유중앙골목시장(수유중앙시장)","436620281","118608481","53945013","33474441","60850844","73705300","18239599","13359928","45956297","18480378"
"20261","R","전통시장","3130134","솔샘시장(미아6,7동골목시장)","226668351","66346682","25325308","15155057","32944879","32314792","6677440","6731197","32451835","8721161"
"20261","R","전통시장","3130133","우이골목시장(우이시장)","933145775","235996433","111755528","66855635","121378791","162446351","31625068","26833850","135681830","40572289"
"20261","R","전통시장","3130132","삼양골목시장(삼양시장)","319666134","91988799","37220644","22601189","45492743","48320039","10860746","9810650","40356509","13014815"
"20261","R","전통시장","3130131","동북프라자","16212466","4050616","2166960","1245277","2049029","2793535","908091","486407","1818095","694456"
"20261","R","전통시장","3130130","수유북부골목시장","40639842","8817331","5317116","3318170","4831796","7525128","2324989","1080409","5784410","1640493"
"20261","R","전통시장","3130129","장미원골목시장","826423661","210368866","100456022","60128000","108232372","143953832","30567562","24134655","112992417","35589935"
"20261","R","전통시장","3130128","돌곶이시장(석관황금시장)","583569468","197330305","64013254","40512673","96115463","71045788","16682328","19813678","56138989","21916990"
"20261","R","전통시장","3130127","석관시장","49776460","14921092","5941203","3575692","7336923","7418719","1698588","1620125","5143600","2120518"
"20261","R","전통시장","3130126","새석관시장","74660626","16923166","10183718","5758098","8641158","13374268","4435040","2109065","10086694","3149419"
"20261","R","전통시장","3130125","장위전통시장","583325575","177697406","67292455","40223831","89285319","84268008","19405022","17924949","64109836","23118749"
"20261","R","전통시장","3130124","번동시장","25527557","7494413","3054365","1951268","3769106","4019204","829858","793269","2442797","1173277"
